tracker_domain,owner,category,sites_seen,site_pct
googletagmanager.com,Google Tag Manager,Tag Management,345,35.49
google.com,google.com,Other / Unknown,306,31.48
doubleclick.net,Google/DoubleClick,Advertising,259,26.65
google-analytics.com,Google Analytics,Analytics,186,19.14
gstatic.com,gstatic.com,Other / Unknown,166,17.08
googleapis.com,googleapis.com,Other / Unknown,149,15.33
linkedin.com,LinkedIn,Social,129,13.27
facebook.com,Facebook,Social,127,13.07
bing.com,bing.com,Other / Unknown,116,11.93
facebook.net,Facebook,Advertising,116,11.93
adnxs.com,AppNexus,Advertising,111,11.42
onetrust.com,onetrust.com,Other / Unknown,104,10.7
demdex.net,Adobe,Analytics,104,10.7
adsrvr.org,Trade Desk,Advertising,100,10.29
cookielaw.org,cookielaw.org,Other / Unknown,100,10.29
rubiconproject.com,Rubicon Project,Advertising,99,10.19
googlesyndication.com,Google,Advertising,94,9.67
licdn.com,LinkedIn,Social,88,9.05
casalemedia.com,Index Exchange,Advertising,87,8.95
rlcdn.com,rlcdn.com,Other / Unknown,77,7.92
